superkingdom_id	kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9398: 'Pteropodidae'}	{9401: 'Pteropus'}	{132908: 'Pteropus vampyrus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9539: 'Macaca'}	{9545: 'Macaca nemestrina'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9570: 'Colobus'}	{54131: 'Colobus angolensis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9567: 'Mandrillus'}	{9568: 'Mandrillus leucophaeus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{9529: 'Cercocebus'}	{9531: 'Cercocebus atys'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{376918: 'Aotidae'}	{9504: 'Aotus'}	{37293: 'Aotus nancymaae'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{30599: 'Indriidae'}	{30600: 'Propithecus'}	{379532: 'Propithecus coquereli'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{30615: 'Cheirogaleidae'}	{13149: 'Microcebus'}	{30608: 'Microcebus murinus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10015: 'Heteromyidae'}	{10016: 'Dipodomys'}	{10020: 'Dipodomys ordii'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{28771: 'Rivulidae'}	{52669: 'Austrofundulus'}	{52670: 'Austrofundulus limnaeus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9787: 'Perissodactyla'}	{9788: 'Equidae'}	{9789: 'Equus'}	{9793: 'Equus asinus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{8079: 'Poeciliidae'}	{8080: 'Poecilia'}	{48701: 'Poecilia mexicana'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{8079: 'Poeciliidae'}	{8080: 'Poecilia'}	{48699: 'Poecilia latipinna'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9681: 'Felidae'}	{32535: 'Acinonyx'}	{32536: 'Acinonyx jubatus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{8561: 'Gekkonidae'}	{8565: 'Gekko'}	{146911: 'Gekko japonicus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{55153: 'Sciuridae'}	{9992: 'Marmota'}	{9993: 'Marmota marmota'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{28738: 'Cyprinodontiformes'}	{405002: 'Nothobranchiidae'}	{28779: 'Nothobranchius'}	{105023: 'Nothobranchius furzeri'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{9398: 'Pteropodidae'}	{9406: 'Rousettus'}	{9407: 'Rousettus aegyptiacus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{981671: 'Miniopteridae'}	{9432: 'Miniopterus'}	{291302: 'Miniopterus natalensis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7952: 'Cypriniformes'}	{7953: 'Cyprinidae'}	{75365: 'Sinocyclocheilus'}	{1608454: 'Sinocyclocheilus anshuiensis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7952: 'Cypriniformes'}	{7953: 'Cyprinidae'}	{75365: 'Sinocyclocheilus'}	{307959: 'Sinocyclocheilus rhinocerous'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7995: 'Siluriformes'}	{7996: 'Ictaluridae'}	{7997: 'Ictalurus'}	{7998: 'Ictalurus punctatus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9498: 'Cebidae'}	{9513: 'Cebus'}	{2715852: 'Cebus imitator'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9971: 'Pholidota'}	{9972: 'Manidae'}	{9973: 'Manis'}	{9974: 'Manis javanica'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{7991: 'Characiformes'}	{42495: 'Serrasalmidae'}	{42513: 'Pygocentrus'}	{42514: 'Pygocentrus nattereri'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9443: 'Primates'}	{9527: 'Cercopithecidae'}	{542827: 'Rhinopithecus'}	{61621: 'Rhinopithecus bieti'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{8292: 'Amphibia'}	{8342: 'Anura'}	{685122: 'Dicroglossidae'}	{120497: 'Nanorana'}	{125878: 'Nanorana parkeri'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	<not present>	{8184: 'Centropomidae'}	{8186: 'Lates'}	{8187: 'Lates calcarifer'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9681: 'Felidae'}	{9688: 'Panthera'}	{9691: 'Panthera pardus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	<not present>	{1294634: 'Crocodylia'}	{1294636: 'Alligatoridae'}	{8495: 'Alligator'}	{8496: 'Alligator mississippiensis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9397: 'Chiroptera'}	{186994: 'Hipposideridae'}	{58068: 'Hipposideros'}	{186990: 'Hipposideros armiger'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{129912: 'Syngnathiformes'}	{72045: 'Syngnathidae'}	{72046: 'Hippocampus'}	{109280: 'Hippocampus comes'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9895: 'Bovidae'}	{9903: 'Bos'}	{9915: 'Bos indicus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{8252: 'Pleuronectiformes'}	{171414: 'Paralichthyidae'}	{8254: 'Paralichthys'}	{8255: 'Paralichthys olivaceus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{29132: 'Castoridae'}	{10184: 'Castor'}	{51338: 'Castor canadensis'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{43697: 'Synbranchiformes'}	{43698: 'Synbranchidae'}	{43699: 'Monopterus'}	{43700: 'Monopterus albus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489928: 'Labriformes'}	{8247: 'Labridae'}	{30799: 'Labrus'}	{56723: 'Labrus bergylta'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{81953: 'Agamidae'}	{52201: 'Pogona'}	{103695: 'Pogona vitticeps'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9850: 'Cervidae'}	{9871: 'Odocoileus'}	{9874: 'Odocoileus virginianus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{38609: 'Diprotodontia'}	{38624: 'Phascolarctidae'}	{38625: 'Phascolarctos'}	{38626: 'Phascolarctos cinereus'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10088: 'Mus'}	{10089: 'Mus caroli'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10088: 'Mus'}	{10093: 'Mus pahari'}
{2759: 'Eukaryota'}	{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10046: 'Meriones'}	{10047: 'Meriones unguiculatus'}
