kingdom_id	phylum_id	class_id	order_id	family_id	genus_id	species_id
{33208: 'Metazoa'}	{7711: 'Chordata'}	{8504: 'Lepidosauria'}	{8509: 'Squamata'}	{81953: 'Agamidae'}	{52201: 'Pogona'}	{103695: 'Pogona vitticeps'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9850: 'Cervidae'}	{9871: 'Odocoileus'}	{9874: 'Odocoileus virginianus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{38609: 'Diprotodontia'}	{38624: 'Phascolarctidae'}	{38625: 'Phascolarctos'}	{38626: 'Phascolarctos cinereus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10088: 'Mus'}	{10089: 'Mus caroli'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10088: 'Mus'}	{10093: 'Mus pahari'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{9989: 'Rodentia'}	{10066: 'Muridae'}	{10046: 'Meriones'}	{10047: 'Meriones unguiculatus'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9709: 'Phocidae'}	{1907176: 'Neomonachus'}	{29088: 'Neomonachus schauinslandi'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{33554: 'Carnivora'}	{9655: 'Mustelidae'}	{34881: 'Enhydra'}	{34882: 'Enhydra lutris'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{40674: 'Mammalia'}	{91561: 'Artiodactyla'}	{9747: 'Monodontidae'}	{9748: 'Delphinapterus'}	{9749: 'Delphinapterus leucas'}
{33208: 'Metazoa'}	{7711: 'Chordata'}	{186623: 'Actinopteri'}	{1489907: 'Carangiformes'}	{8157: 'Carangidae'}	{8160: 'Seriola'}	{41447: 'Seriola dumerili'}
